"Name","val/acc_best","seed","test/acc","model/backbone/delta","model/backbone/snr_db","Updated","model.backbone.snr_db","Tags","dataset/snr_db"
"robust-sweep-11","0.4927999973297119","0","0.4551999866962433","0.25","20","2023-05-25T14:00:27.000Z","20","05/25, airtnn, heat_map","40"
"stilted-sweep-10","0.3720000088214874","4","0.3456000089645386","0.25","10","2023-05-25T13:57:50.000Z","10","05/25, airtnn, heat_map","40"
"wandering-sweep-9","0.3531999886035919","3","0.3704000115394592","0.25","10","2023-05-25T13:55:13.000Z","10","05/25, airtnn, heat_map","40"
"stellar-sweep-8","0.35920000076293945","2","0.3508000075817108","0.25","10","2023-05-25T13:52:32.000Z","10","05/25, airtnn, heat_map","40"
"sage-sweep-7","0.34880000352859497","1","0.3919999897480011","0.25","10","2023-05-25T13:49:53.000Z","10","05/25, airtnn, heat_map","40"
"rural-sweep-6","0.3808000087738037","0","0.3447999954223633","0.25","10","2023-05-25T13:47:17.000Z","10","05/25, airtnn, heat_map","40"
"vocal-sweep-5","0.22519999742507937","4","0.17679999768733978","0.25","0","2023-05-25T13:44:38.000Z","0","05/25, airtnn, heat_map","40"
"stellar-sweep-4","0.24879999458789823","3","0.25440001487731934","0.25","0","2023-05-25T13:42:03.000Z","0","05/25, airtnn, heat_map","40"
"sweepy-sweep-3","0.23280000686645508","2","0.22280000150203705","0.25","0","2023-05-25T13:39:27.000Z","0","05/25, airtnn, heat_map","40"
"youthful-sweep-2","0.2152000069618225","1","0.25040000677108765","0.25","0","2023-05-25T13:36:50.000Z","0","05/25, airtnn, heat_map","40"
"feasible-sweep-1","0.2443999946117401","0","0.20520000159740448","0.25","0","2023-05-25T13:34:15.000Z","0","05/25, airtnn, heat_map","40"
