"Name","train/acc","test/acc","val/acc_best","val/acc","Created","model.backbone.snr_db","seed","Runtime","Notes","State","Tags","batch_size","callbacks/early_stopping/_target_","callbacks/early_stopping/mode","callbacks/early_stopping/monitor","callbacks/model_summary/_target_","callbacks/model_summary/max_depth","callbacks/rich_progress_bar/_target_","datamodule/_target_","datamodule/batch_size","datamodule/num_workers","datamodule/pin_memory","dataset/_target_","dataset/delta","dataset/k_diffusion","dataset/n_community","dataset/n_nodes","dataset/num_samples","dataset/p_inter","dataset/p_intra","logger/_target_","logger/group","logger/job_type","logger/log_model","logger/notes","logger/offline","logger/project","logger/save_dir","logger/tags","model/_target_","model/backbone/_target_","model/backbone/hidden_dim","model/backbone/hidden_ffnn","model/backbone/k","model/backbone/n_classes","model/backbone/p","model/backbone/snr_db","model/batch_size","model/n_classes","model/num_workers","model/optimizer/_partial_","model/optimizer/_target_","model/optimizer/lr","model/optimizer/weight_decay","model/pin_memory","model/scheduler/_partial_","model/scheduler/_target_","model/scheduler/factor","model/scheduler/mode","model/scheduler/patience","n_classes","num_workers","paths/data_dir","paths/log_dir","paths/root_dir","paths/work_dir","pin_memory","task_name","trainer/_target_","trainer/accelerator","trainer/deterministic","trainer/devices","trainer/log_every_n_steps","trainer/max_epochs","trainer/min_epochs","trainer/precision","_target_","delta","k_diffusion","mat_flag","n_community","n_nodes","n_sources","num_samples","p_inter","p_intra","snr_db","spike","epoch","test/loss","train/loss","trainer/global_step","val/loss","dataset/mat_flag","dataset/n_sources","dataset/snr_db","dataset/spike","dataset.snr_db","dataset.n_sources","dataset.spike","dataset.mat_flag","model.backbone.hidden_ffnn","model.backbone.p","model.backbone.k","model.backbone.hidden_dim"
"graceful-sweep-19","0.7652000188827515","0.7527999877929688","0.7856000065803528","0.7856000065803528","2023-05-19T11:23:29.000Z","40","4","329","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","40","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.7107890844345093","0.6766062378883362","4000","0.6453437805175781","abs_lower","0.85","40","0.5","","","","","","","",""
"fresh-sweep-17","0.734000027179718","0.7307999730110168","0.7788000106811523","0.7260000109672546","2023-05-19T11:12:16.000Z","40","1","333","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","40","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8000978231430054","0.757040798664093","4000","0.7785984873771667","abs_lower","0.85","40","0.5","","","","","","","",""
"sparkling-sweep-22","0.7365999817848206","0.7319999933242798","0.777999997138977","0.7347999811172485","2023-05-19T11:40:13.000Z","60","1","335","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","60","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.793301522731781","0.7467730641365051","4000","0.7666203379631042","abs_lower","0.85","40","0.5","","","","","","","",""
"efficient-sweep-2","0.7340999841690063","0.7275999784469604","0.7735999822616577","0.729200005531311","2023-05-19T12:28:28.000Z","100","1","329","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","100","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.7996408939361572","0.7532564997673035","4000","0.7723174691200256","abs_lower","0.85","40","0.5","","","","","","","",""
"ancient-sweep-25","0.7240999937057495","0.6976000070571899","0.7731999754905701","0.7160000205039978","2023-05-19T11:57:07.000Z","60","5","329","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","60","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8290541768074036","0.7795990705490112","4000","0.8395789265632629","abs_lower","0.85","40","0.5","","","","","","","",""
"clean-sweep-5","0.7221999764442444","0.6972000002861023","0.7728000283241272","0.7071999907493591","2023-05-19T12:45:08.000Z","100","5","331","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","100","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8311189413070679","0.7804213762283325","4000","0.8476411700248718","abs_lower","0.85","40","0.5","","","","","","","",""
"bumbling-sweep-23","0.7229999899864197","0.6880000233650208","0.7712000012397766","0.7296000123023987","2023-05-19T11:45:52.000Z","60","2","334","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","60","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8710506558418274","0.7749736309051514","4000","0.7636419534683228","abs_lower","0.85","40","0.5","","","","","","","",""
"atomic-sweep-20","0.7210999727249146","0.6883999705314636","0.7712000012397766","0.7020000219345093","2023-05-19T11:29:05.000Z","40","5","331","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","40","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8451870083808899","0.7819461226463318","4000","0.8602900505065918","abs_lower","0.85","40","0.5","","","","","","","",""
"pious-sweep-3","0.7229999899864197","0.6904000043869019","0.7703999876976013","0.7264000177383423","2023-05-19T12:34:02.000Z","100","2","325","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","100","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8765374422073364","0.776662290096283","4000","0.7708694338798523","abs_lower","0.85","40","0.5","","","","","","","",""
"clear-sweep-18","0.7214000225067139","0.6815999746322632","0.7644000053405762","0.729200005531311","2023-05-19T11:17:55.000Z","40","2","331","testing","finished","05/19, snr_seed, snr_sweep","256","pytorch_lightning.callbacks.EarlyStopping","max","val/acc","pytorch_lightning.callbacks.RichModelSummary","-1","pytorch_lightning.callbacks.RichProgressBar","data.cell_datamodule.CellDataModule","256","4","true","data.cell_sbm_dataset.CellDataset","2.5","50","10","70","15000","0.01","0.9","pytorch_lightning.loggers.wandb.WandbLogger","design_dataset","","false","testing","false","airtnn","logs","[""05/19"",""snr_sweep"",""snr_seed""]","models.lit_module.LitModule","models.components.airtnn_backbone.Backbone","128","2048","5","11","0","40","256","11","4","true","torch.optim.Adam","0.001","0","true","true","torch.optim.lr_scheduler.ReduceLROnPlateau","0.1","min","20","11","4","./topological_air_nn/data/","./topological_air_nn/logs/","./topological_air_nn","/home/simone/projects/topological_air_nn","true","train","pytorch_lightning.Trainer","gpu","false","[0]","40","100","10","32","","","","","","","","","","","","","100","0.8799785375595093","0.7788393497467041","4000","0.7743231654167175","abs_lower","0.85","40","0.5","","","","","","","",""
