"Name","val/acc_best","dataset/snr_db","model/backbone/delta","seed","test/acc","Tags"
"vague-sweep-31","0.4887999892234802","40","2.5","0","0.4675999879837036","05/24, airgnn, delta_sweep"
"usual-sweep-33","0.5088000297546387","40","2.5","2","0.5027999877929688","05/24, airgnn, delta_sweep"
"fearless-sweep-32","0.4952000081539154","40","2.5","1","0.4672000110149383","05/24, airgnn, delta_sweep"
"playful-sweep-34","0.4803999960422516","40","2.5","3","0.4379999935626984","05/24, airgnn, delta_sweep"
"sparkling-sweep-35","0.5392000079154968","40","2.5","4","0.520799994468689","05/24, airgnn, delta_sweep"
"giddy-sweep-30","0.72079998254776","40","2","4","0.7063999772071838","05/24, airgnn, delta_sweep"
"quiet-sweep-29","0.6976000070571899","40","2","3","0.6923999786376953","05/24, airgnn, delta_sweep"
"cosmic-sweep-28","0.671999990940094","40","2","2","0.652400016784668","05/24, airgnn, delta_sweep"
"generous-sweep-27","0.6679999828338623","40","2","1","0.6496000289916992","05/24, airgnn, delta_sweep"
"happy-sweep-26","0.6791999936103821","40","2","0","0.6647999882698059","05/24, airgnn, delta_sweep"
"light-sweep-23","0.758400022983551","40","1.5","2","0.7688000202178955","05/24, airgnn, delta_sweep"
"magic-sweep-22","0.7423999905586243","40","1.5","1","0.7120000123977661","05/24, airgnn, delta_sweep"
"gallant-sweep-25","0.7824000120162964","40","1.5","4","0.7680000066757202","05/24, airgnn, delta_sweep"
"kind-sweep-21","0.7712000012397766","40","1.5","0","0.7608000040054321","05/24, airgnn, delta_sweep"
"radiant-sweep-24","0.7739999890327454","40","1.5","3","0.7680000066757202","05/24, airgnn, delta_sweep"
"neat-sweep-16","0.741599977016449","40","1","0","0.7419999837875366","05/24, airgnn, delta_sweep"
"fresh-sweep-18","0.7264000177383423","40","1","2","0.7343999743461609","05/24, airgnn, delta_sweep"
"pretty-sweep-19","0.717199981212616","40","1","3","0.7167999744415283","05/24, airgnn, delta_sweep"
"classic-sweep-20","0.7351999878883362","40","1","4","0.7315999865531921","05/24, airgnn, delta_sweep"
"sweepy-sweep-17","0.7279999852180481","40","1","1","0.7024000287055969","05/24, airgnn, delta_sweep"
"valiant-sweep-13","0.6407999992370605","40","0.75","2","0.6636000275611877","05/24, airgnn, delta_sweep"
"clear-sweep-14","0.6431999802589417","40","0.75","3","0.6119999885559082","05/24, airgnn, delta_sweep"
"efficient-sweep-11","0.6603999733924866","40","0.75","0","0.6539999842643738","05/24, airgnn, delta_sweep"
"neat-sweep-15","0.6407999992370605","40","0.75","4","0.626800000667572","05/24, airgnn, delta_sweep"
"legendary-sweep-12","0.6556000113487244","40","0.75","1","0.6327999830245972","05/24, airgnn, delta_sweep"
"good-sweep-8","0.527999997138977","40","0.5","2","0.5360000133514404","05/24, airgnn, delta_sweep"
"fresh-sweep-10","0.5271999835968018","40","0.5","4","0.5351999998092651","05/24, airgnn, delta_sweep"
"sweepy-sweep-9","0.5511999726295471","40","0.5","3","0.5351999998092651","05/24, airgnn, delta_sweep"
"fast-sweep-6","0.5464000105857849","40","0.5","0","0.548799991607666","05/24, airgnn, delta_sweep"
"exalted-sweep-7","0.5411999821662903","40","0.5","1","0.5332000255584717","05/24, airgnn, delta_sweep"
"warm-sweep-3","0.36959999799728394","40","0.25","2","0.39399999380111694","05/24, airgnn, delta_sweep"
"fluent-sweep-4","0.384799987077713","40","0.25","3","0.39239999651908875","05/24, airgnn, delta_sweep"
"confused-sweep-5","0.38359999656677246","40","0.25","4","0.3720000088214874","05/24, airgnn, delta_sweep"
"cerulean-sweep-2","0.3952000141143799","40","0.25","1","0.3795999884605408","05/24, airgnn, delta_sweep"
"glorious-sweep-1","0.3792000114917755","40","0.25","0","0.3964000046253204","05/24, airgnn, delta_sweep"
