model/backbone/delta,mean,std
0.25,0.6284800052642823,0.010374583797528746
0.5,0.7934399962425231,0.01383504515490097
1.0,0.8749600052833557,0.008665325010879634
1.5,0.9008800029754639,0.008101341132317497
2.0,0.9007999897003174,0.0068585770100016066
