model/backbone/delta,mean,std
0.25,0.09071999937295908,0.001245794751114944
0.5,0.09047999978065484,0.0017297409753713158
1.0,0.21096000075340265,0.028225660318011714
1.5,0.12312000095844264,0.011158495411003505
2.0,0.08624000102281566,0.006827004363292814
