model/backbone/delta,mean,std
0.25,0.09176000058650961,0.0003577702686429938
0.5,0.09176000058650961,0.0003577702686429967
1.0,0.09160000085830682,0.0010198021703446518
1.5,0.0895999982953071,0.010453706681014602
2.0,0.09511999785900108,0.004293249887717824
