model/backbone/delta,mean,std
0.25,0.5010399937629699,0.03462553663522813
0.5,0.6839199900627136,0.012916344111177654
1.0,0.8063999891281128,0.022426774344539407
1.5,0.8826399922370911,0.013895610290178129
2.0,0.808799996972084,0.04040991063411135
